score,content
1,lu ngapain gabung ke tiktokdah bener tokped aja ngapain gabung bukan makin berkembang makin ancur toko gw mana ada pinjaman modal toko gara gara lu gabung gw malah gak bisa setor ancur gara gara lu gabung ke tiktokpencairan seminggugak bisa muter gak bisa setor modal pas pasan pekok emang pengurus tokped gak punya otak
5,aplikasi yang mudah dan tidak ribet
1,tidak menyelesaikan masalah
5,oke
5,gw download tokopedia buat cari komponen atau paket pc di tokopedia siapa tau ada harga murah gitu
5,dear developer sudah bagus mohon lebih ditingkatksn kelengkapan produk yg dijual mungkin bisa dimulai dari mudahnya aplikasi membuka toko
5,tolong balikin menu hapus chat jadi kalo kita mau hapus chat biar gak banyak space memory kemakan
1,tolong kalau barang gagal kirim uangnya di kembalikan
5,keren praktis
5,bagus
5,menarik sekali
5,tokopedia memang top markotopsaya tunggu pesanan nya y kak terimakasih
1,bintang satu aja sekarang gak ada gratis ongkirnya diskon jg dikit banget skipp mending ke aplikasi sebelah
1,jangan kirim iklan
5,puas
3,ok
5,toko pedia memang mantap
1,ketentuan peraturan dana cair semakin lama eh emng yg jualan di sini orng yg punya simpanan banyak buat modal lagi dah modal tipis cair  minggu potongan admin semakin gede saya curiga duit di tahan selama  minggu tu buat apa di tahan hak penjual loh bukan hak lu
2,lemot sekrang ribet
5,mantap
5,mantab
3,saran saya tokopedia mencontoh shopee ada penilaian untuk kurir karena kurir seenaknya ngirim barang lama tanpa ada penilaian kasihan yg jadi sasaran sellernya
5,respon keluhan lebih cepat di tanggapi
5,respon nya cepat banget aplikasi nya gampang di gunakan
5,bagus cepet murah
1,kenapa banyak iklan aplikasi ini di hp aku tolong di non aktifkan fitur iklannya ini sangat menggangu sekali
5,mantapp
5,aplikasi belanja yg baguspengiriman cepat
5,tokopedia banyakiin promo dan diskon serta gratis ongkir dong dan tingkat pelayanan kepada pembeli
5,tokopedia mantap
5,mantap reek tokopedia kualitas oke bangetsuka belanja disini
1,sekarang pencarian sangat tidak akurat hasilnya keywordnya apa hasilnya apa sangat menyusahkan orang cari barang ibarat untung  untungan aja nemu barang yang cocok misal keyword  yang muncul malah semua yang ada angka  nya udah gitu aplikasinya makin hari makin berat
5,great
5,ok
5,mantap
5,ok
1,ini aplikasi tidak rekomendasi bangetsaya return barang yg saya terima rusak dan saya bayar asuransi pengirimantetapi sampai sekarang tidak ada kepastian pengembalian dana dan pembayaran premi asuransinyapadahal barang sudah diterima pihak penjualhati saja buat yg lain transaksi disinisusah sekali mau komplain kalau ad kendala
5,saya bisa menemukan barang apa yang saya suka disini
1,buruk terlalu ribet login masuk ketika email kita yg dinyatakan google tak bisa terima pesan masuk karena penyimpanan email penuh kode verifikasi yg dikirim via email tak masuk
1,ga lagilagi deh belanja di sini kena tipu  duit angus ga balik sedih banget udah ngajukan tapi prosesnya malah di tutup padahal udah kirim semua bukti dll uang ga kembali udah deh mending kalian di toko oren aja dari pada di sini banyak banget toko penipuan di tokped ini
5,smga tambah sukses tikopediq emak matntap
5,dear tokped kenapa mitra tokopedia di hapus aplikasi nya saya sedih dimana lagi bisa jualan pulsa dll segampang dan semurah itu fitur nya banyak ga neko ga pusing make nya sekarang aplikasi nya tiada apakah kamu sudah kere tokped jadi ga bisa kelola banyak aplikasi  masa aku harus selingkuh ke aplikasi tetangga buat ppob tolong berbaik lah kembalikan mitra tokopedia
5,puas sekali
1,kenapa pengguna baru tidak ada discont dan voucer belanja tidak seperti shopee dan lazada yang selalu memberi discon dan voucher gratis toko pedia apk sampah
5,istimewa
5,good
3,oke
5,keren
1,sampah bagusan shopee
5,mantap bagus sekali
5,bagus
5,mantap
5,toko yang sangat bermanfaat
5,bagus
1,barang discount hanya bs beli  aja tdk bs beli banyak
5,luar biasa
5,gacor kang
1,saya kecewa dengan tokopedia karena lebih memihak ke penjual dibanding pembeli saya sudah ajukan batal ke barang yang alamatnya salah dan statusnya masih diproses tapi oleh pihak penjual ditolak dan tetap dikirim ke alamat yang salah padahal toko atau penjual lain yang alamatnya salah dengan tanggal pemesanan yang sama juga masih bisa dibatalkan saya sebut saja tokonya sharp official dan pengajuan banding oleh admin tokopedianya ditolak dengan alasan barang sudah dikirim ke alamat yang salah
4,pokoknya bagus kah
1,no hp saya yg terdaftar sudah mati tapi mau ganti no baru gak bisa bisa
5,belanjakan murah ongkir murah
1,lama pencarian driver nya
5,
4,sangat memudahkan dan lancar
2,pesanan kok hampir  minggu blum di trima kan  khasian yg punya produk  tolong diperbaiki pengiriman nya
4,saldo refund ga bisa dipake
5,mantap
1,kupon bebas ongkir menghilang bagi pengguna nonplus
4,blm prnh dpt gratis ongkirrespon penjual amat sangat lama sekaliga kyk di toko orange langsung gercep  detik langsung dibls
5,bagus tokopedia akan lebih baik jika bisa diperlihatkan nama kurir yang mengantar supaya lebih amanah dan kita bisa memberi ulasan atau rating juga untuk kurir dan ekpedisi selain pada penjual tokopedia mantap untuk belanja pengalaman saya selalu baik kurang baiknya dibagian kurir aja saya pake jne lama banget keterangannya pembeli tidak ada ditempat padahal selalu ada orang dirumah jadi akan lebih baik jangan atau kurangi kerja sama dengan mitra yang ga profesional tokopedia keren
5,yang mati karena naik sepeda motor lebih banyak daripada yang mati karena vape kenapa tokopedia permudah membeli sepeda motor daripada membeli vape saya ingin belanja vape dengan mudah
5,puas dengan pelayanannya ramah
5,baguss
1,saldo ketahan cs ga respon apk taii
5,mudah dan dapat di percaya
1,jika anda berbisnis menggunakan aplikasi ini anda akan punya pengalaman buruk dalam hal pemilihan kurir bahkan untuk komplain di app nya tidak diberikan kesempatanhancur berantakan gara gara kurir yg tdk ontime
5,trims atas ketersediaan produknya
1,sangat mengkhawatirkan tokped ma tiktok lg ke bobol keknya sampe dana aja ad yg ambil ahkirni sma sistemasli kecewa dan jadi takut bwat transaksi di sini lg
3,kenapa sih selalu pindah menu capek banget sama tokopedia ini
1,pelayanan yamg sangat buruk
5,maaf ini aku menemukan paket jatuh dari toko pedia dan alamat penerima kurang jelas mau nganter juga tidak bisa tolong responnya secepatnya lokasi jogja kretek
1,udah lama ga beli barang di tokopedia trus pas belanja tiba dibatalin sama sistem katanya ada indikasi penipuan transaksi padahal emang niat beli barang kokk yaudah batalin yang satunya lagi aja saking keselnya pas refund pun lama bgt padahal sk nya bilang klo transaksi pake va bakal otomatis balik lagi ke rekening klo refund mana adaa yg ada nungguin lebih dari  jam uang belum dibalikin udah gitu harus manual narik uangnya
3,malas sekarang beli di tokopedia pengiriman lama banget padahal official store loh aneh ga sih dah lah mau unistall kalo paketan datang estimasi tiba  ganti lagi tgl  garansi tiba tgl  mei oke aq tunggu awas kalo barang ga ori atau hilang mau unistall kalo paketan dah datang mohon lah tokopedia diperhatikan lagi masalah pengiriman chat penjual juga balasan nya gitu aja bayangkan beli hp infinix di official store langsung gaes dari tgl  sampe sekarang  mei blm nyampe
1,mau disampaikan ke bagian apapun untuk komplen tetep aja lama dan berbelitbelit urusannya udah jelas barang terlambat datang makin parah dan cs nya makin kocak
3,sebenernya males bgt beli di aplikasi ini jasa kirim nya lemot bgtudah berkali pesen paket wajib banget  minggu kadang ada yg nyampe  harian belum lagi paketnya sering nggak di update lokasinya udah sampe mana update lokasi paket semau aja bikin pengguna atau pembeli jadi kesel
3,banyak produk kw mol nya gak faham aku
3,sering nge bug min lagi nyari barang belom kelar ngetik udah blank putih duluan entah kenapa
5,sangat bagus sekali
1,paylater bunga nya terlalu tinggi ga kaya sebelah ongkir bayar terus ga ada gratis
1,emang kelewatan tokopedia dana penjualan  hari baru bisa di ambil belum lagi integrasi ke tiktok seller ribet bikin hancur penjualan semoga saja ada app marketplace saingan kayak bukalapak dl
5,mantapp selalu ada promo toko pedia sukses selalu
1,aplikasi sampah akun cuma punya  daftar juga data diri sendiri tapi gabisa pakai promo vouchercb dsbnya terdeteksi melanggar mulu
5,ok
1,tokopedia hanya ramah untuk user jabodetabek luar pulau jawa menjerit karena gratis ongkir cuma rb kocak parah mending oyen kemana² tetep rp p
1,pengembalian saldo refund lambat
5,mlayan gampang
5,tokopedia barang barangnya sesuai dengan yang diharspkan
5,terbaik
1,susah banget pakai aplikasinya berkalikali coba belanja di sini malah gagal mulu wkwkwk
1,jangan mau berlangganan di sini kalian kalo punya saldo ga bisa di tarik lagi ke rekening di bikin nya ribet banget pengen nya harus di belanjain habis di toko pedia aja saldo kalian  payah emng pemaksaan tokopedia payah
4,membantu
5,mantap
5,mantep
1,tolong dong pihak tokopedia jangan kerja sama dengan expedisi loading bangat idex lambat bangat progressnya  tokopedia malah kecoreng sama expedisi lambat
2,semenjak gabung sama tiktok sebagai seller ini jadi lebih ribet pencairan dana tambah lama jadi hari kalender yg harus nya udah selesai tinggal tarik dana ini masih belum juga dan buat apa sedang dalam review lebih nyaman dengan fitur tokopedia murni yg dulu kenapa mengharuskan toko digabungkan dengan tiktok udah digabungkan tapi gak bisa terus masuk ke akun seller center nya sangat kecewa dengan kebijakan yg sekarang
5,mantab bayar di manapun tetap lancar aku lagi di arab saudi
5,sudah keren ini sahabatnya duolingo wkwkwk makasih tokped
5,ok ok
1,semakin rumit jualan di tokopediasaldo jualan lama cair nya  padahal modal dikit yg harus di putar
1,mengecewakan pencairan saldo penjual semakin lama malah direview juga lama customer service nya juga lama tidak respon sudah  jam
5,muantap
5,tokopedia sangat lengkap  opsi pembayaran banyak produknya jg bagus ga pernah kecewa belanja di tokopedia
1,tolong lah tokopedia sediakan pergantian alamat setelah cek out seperti aplikasi lainketika sudah di co ternyata salah alamat penjual gamau tau ga mau di batalin dulu sangat menyusahkan pembeli
1,tidak menyenangkan aplikasi minta di update setiap hari
1,uang saya terebenam barang tdk sampai dari tgl  mei kemarin sampai sekarang dan tanggapan dari tokopedia sangat lambat
5,blm pernah coba tapi karena ini apk asli org indonesia mangkanya saya kasih bintang
1,tokopedia harus tegas berantas toko toko pembohongsampai sekarang saya kecewa bela ja di tokopedia
1,perbaiki lagi sistemnya yah bos
5,okk
4,dear develop tolong untuk di tingkatkan lagi di bagian expedisi nyaa yaa terutama tekankan lagi untuk di semua cabang expedisi agar pengiriman tidak delay dan tidak di lambat²kan sering banget belanja terus paketnya suka melebih estimasi pengiriman mohon untuk di perhatikan lagi ya min thanks
5,menu top up segera d munculkan min
5,tool home nya di munculun terus boleh min soalnya sering mau kembali ke awal harus tekan kembali berulang dan di tambain filter pencarian berdasarkan ekspedisi saya rasa itu penting
5,good ayo bangkit lagi
5,mantap
2,aplikasi gk jelas masa gk ada keterangan vouher didalam sk
5,banyak promo pembayaran mudah
1,seller sdh  hari gak kirim barang awal transaksi sdh dikirimkan setelah cek ekspedisi belum ada request pickup seller alasan akan koordinasi ekspedisi ujungnya tunggu aja nanti jg dipickup lahh awalnya sdh kirim request pembatalan seharusnya dipermudah jadi kita bisa cari alternatif lain ujungujungnya  hari baru batal otomatis kan bisa cs lihat kronologi dan faktanya sdh di ss bukti chat perbaiki dong sudah kena jasa aplikasi tp pelayanan kurang
3,ongkir nya mahal
1,setelah update dan kolab sama tiktok jadi bingung tampilan banyak berubah produk juga banyak produk yg gajelas dan sering lag lebih baik tokopedia yg dulu
5,error min gajelas bgt mau kasih ulasan langsung banyak kan ada fiturnya tapi setelah di kasih satu satu udah kan abis itu dicek lagi pasti kan malah ilang tulisan nya atau engga ulasannya pindah ke ulasan yang beda sama yang seharusnya bener
1,tokopedia care sangat sliw respon csnya burul pelayanan
5,tokped saya tdk saran kan karena status update barang sanggat lama sekali biasa bisa  hari  kali update tentang barang kiriman saya sanggat tidak rekomendasi untuk tokopedia ini pengiriman dan update stuts sanggat lama jadi buat teman lebih baik pake shope aja lebih oke dan yang pasti sudah terjamin status nya lebih cepat update dari toko pedia ini
1,setelah di akuisi tiktok makin kacau saja aplikasi tdk stabil tiktok memang meresahkan
1,hbs update malah leletga bisa log out
5,minus banget
4,salam tokopedia saya memberi masukan misalnya dalam aplikasi ditambahkan fitur cetak transaksi yang dapat terkoneksi dengan printer thermal
1,utk saat ini saya gak rekomen belanja di sini apalagi kalau nilai barangnya jutaan kalau kenapanapa cs nya gak membantu balesan cuma template seller  buyer digantung sama cs bisa sampe berharihari
5,aplikasi yang bagus sekali mudah di gunakan dan gampang untuk di pahami sangat membantu sekali belanja cukup dengan klik saja tidak perlu repot keluar rumah
5,oke
1,semenjak ada penggabungan tiktok sama tokopedia toko otomatis offline saldo otomatis masuk juga hari nambah hadduhh terus yg lebih parah aplikasi toko seller ga kepake alias ga guna terus harusnya kalo ada penggabungan ga usah tambah menu ini itu udah hidup pusing di tambah peraturan yg bikin pusing
5,nicee
5,ok baik
4,pembatalan otomatis nya kurangin jadi hari kalo bisa gua beli barang gak di proses nungguin sampe tanggal  cik
5,lumayan cepet pengiriman nya
1,sekarang sudah ga ada diskon sama sekali gratis ongkir pun hilang uda ga pernah belanja dsini lagi karena gada diskon atau gratis ongkir nya
4,untuk mines nya pengiriman selalu di tunda tunda jadi gak se cepat shopee
5,good
5,sangat membantu
5,mantap
1,tokopaedi mahal dan susah voucehr discountnya mending di aplikasi sebelah bnyk discount
5,sangat bagus banyak diskonya
5,okelah
1,dipasangi anti firewall ga lucu sleketep
5,terbaik
5,mantul
5,sangat memuaskan
1,tidak memikarkan penjualdana lama cair jikka tidak dinkonfirmasi pembeli merugikan
1,pelayanan toped makin kurang memuaskanrekomendasi kurir free ongkir lambat se enaknya sendiri merubah estimasi pengirimanpadahal sudah telat dan tidak memberikan kompensasi apapunpelayanan buruk bahkan mau menutup akun saja tidak bisapadahal juga sudah lama tidak transaksipakai tokopedia
1,bagi pembeli atau penjual silahkan pakai market lain tokopedia sudah rusak untuk menghindari sesuatu yang tidak di inginkan
5,layanan
3,fitur chat gk bisa di hapusterkadang ada yg privasi member plus klo beli rokok harus ke web sedangkan di web gk bisa gratis ongkir dan kupon
5,mantap
5,mantap
4,sdh bagus cuma untuk topup uang elektronik brizzi ko ga adamohon ditambahkan jadi semua kartu elektronik bisa support
5,untuk sekarang masih oke
2,tahun ke belakang langganan banget belanja di tokopedia karena banyak voucher cashback dan diskon tapi sekarang semenjak gabung sama tiktok jarang belanja karena ga ada diskonan udah gitu pake kurir rekomendasi paketnya lama ga di antar ke rumah sampe sering hilang aduh udah nyaris ga pake aplikasi ini lagi
3,kenapa setiap mau buka tokped pinjam harus perbaharuin aplikasi
1,saya barusan di tipu di aplikasi ini tapi tidak ada akses untuk melaporkan  toko pedia care hanya robot bodoh fix unistal
5,memudahkan untuk bertransaksi secara aman dan mudah
2,topup e toll lewat tokped gak masuk padahal saldo udh kepotong udh komplain lwt tktk gak dibales
5,klu bisa ongkirnya jangan mahal banget kalau bisa gratis amin amin
5,mudah antokopedia terdepan nya memberi pelayanan terbaik kepada semua customer tidak boleh pilih pilih kepada semua customer dengan sepenuh hatitulusikhlas tanpa adanya pamrih
1,tampilan bukan berubah makin gampang malah makin ribet
5,mantap
5,sangat membantu
5,info cancel pembayaran cepat
5,sangat bagus
1,aplikasi gajelas banyak penipu di tokped dan gaada solusi pengembalian dana hati transaksi gede di sini
5,good job
1,makin ke sini aplikasi makin bego mo liat wish list jadi susah bukan bikin gampang malah susah dasar bego
3,wishlist sebaiknya ditempatkan langsung di dashboard utama misalnya di samping ikon keranjang saat ini ikon wishlist baru muncul di dalam keranjang sehingga menyulitkan pengguna karena harus masuk ke keranjang dulu untuk mengakses wishlist dan mengkategorikan barang belanjaan selain itu aplikasi ini masih banyak bug saat saya mencoba mencari barang aplikasi sering berhenti tibatiba force close dalam waktu kurang dari  jam penggunaan muncul notifikasi aplikasi terhenti
5,sangat mudah
1,makin ancur ini tokped wa seller barang p m x l  cm seting pengiriman kargo gk bisa maunya semua jt exprees wa masukin ke jt express setangerang gk ada yg mau nerima kan tolol ini app buat setingan barangnya gmn kali enak jualan di shope
1,kenapa setelah update jadi susah masuk akun sudah coba pakai berbagai cara tetap saja disuruh masukin ulang nowaemail
5,aplikasi ini sangat sempurna menurut aku menurut kalian gimana
5,sgt profesional
5,bagus
1,tokopedia bad terima barang reject malah dananya diteruskan ke penjual saya sebagai pembeli rugi
5,bnyk cashbacknya
5,kesalahan fatal tokopedia itu pilihan kurirnya gratis ongkir pake kurir lelet kaya keong bikin males beli disini sebelah pake kurir  hari sampe
1,tampilan riawayat transaksi di tampilan menu utama tidak ada sangat menyulitkan
5,bagus banget aku suka gak pernah gagal
1,tolong ini tokopedia kenapa sih banyak banget errornya
1,tokopedia brengsek ribet menyebalkan tidak ada metode pembayaran cod mestinya pembayarannya lengkap bisa cod semua barang yg dijual di marketplace tokopedia pengguna baru tidak dapat voucher diskon beberapa persen dan voucher gratis ongkir menyebalkan pengguna bukanya dipermudah dalam berbelanja malah dipersulit penggunaannya ribet ini tidak ada gunanya marketplace tokopedia ini menyebalkan mendingan bubarin saja perusahaan tokopedia ini hapus permanen aplikasinya menyebalkan brengsek
5,bagus
5,siip
4,setelah update review langsung refund dana masuk good
1,pengembalian dana ktika gagal bayar atau gagal proses terlalu lama x  jam
1,sudah bayar iklan dipotong juga dari hasil jualan yg cape seller yg kaya tokopedia
3,udah bagus tpi ada sedikit saran tolong tambahkan fitur penilaian untuk ekspedisi soalnya banyak masalah di ekspedisi dripda di toko nya
1,aplikasi tdk berfaedah ngomong di chat tanya yg jawab mesin robot solusi nya berbelit belit ribet ga bikin masalah selesai yg mudah si bikin susah malah duit raib masuk ke penjual tolong perbaiki sistem jgn kaku emang susah kompalin belanja di tokped
1,dear tokopedia kenapa sekarang sistem cairnya  hari  malamkelamaan lama kelamaan bakal banyak seller² kecil menutup toko nya sudah dapat nilai jual rendah potongan sudah tidak masuk akal rugi utk seller² kecil terima kasih
3,gua cuma kesel sama ekspedisi kurir di tokped sih sebenrnya masih lbh oke shopee dan ekspedisi spx nya gercep anter barang
1,bye bye ijo setelah diakuisisi tiktok malah minus semuanya
5,
1,jangan ada yang top up e money di tokped  penipu
5,enak pakainya
5,apk nya sangat membantu sekali
5,keren
5,oke
1,spam iklan
5,bagus aplikasinya untuk berbelanja
1,kalo donlod aplikasi ini pesti dikit dikit ikelan jijik banget adekku sampek mara kalo pegang hp pesti ikelan
1,sekarang tokopedia terakhir online penjual tidak bisa di lihat jadi susah bedain mana toko yang aktif dan tidak aktif  sangat buruk mending hapus aja  banyak toko setan
1,sistem retur buruk rugi ongkirnya tokopedia buruk
1,dirugikan sebagai seller barang di return tdk sesuai yg dikirim tpi tidak ada solusi rugi jutaan
1,toko bermasalah tidak ditindak masih banyak modus penipuan dari toko abalabal atau penipu dengan modus barang dikirimnya barang bekas kemudian pembeli minta pengembalian dana tetapi tidak bisa karena toko seller tidak acc akhirnya minta penukaran barang tetapi tidak dikirim uang ilang dan tidak ada barang yg dikirim ulang tokonya rayennsshop
1,udah ga diskon ada ongkir pengiriman masih lama  beda sama aplikasi sebelah  mending uninstall ajh aplikasi ini
1,tidak sebagus dulu sejak gabung tiktok tambah aneh
5,mantab
1,tidak bisa saya ganti nomor saya yg sudah tdk aktif karna masuk ke websitenya error padahal internet saya baik saja saya merasa tokopedia tidak bisa bertanggung jawab atas website nya yg error
5,good
1,saldo penghasilan susah hampir  hari tidak masuk padahal sudah melewati  jam review
1,parah refund dana udah seminggu ga balik menyesal saya transaksi di tokopedia
3,kenapa jadi tidak bs hapus chat inbox hp ny jd lemottolong dong aktifin lg fitur hapus chat kaya ap seller yg lain biar hpnya g lemotkebanykan chat
5,mantapefisien
1,rugi banget beli di tokopedia pesanan return ke penjual tp di sitem ngadat jadi nge gantung uang saya tokopedia jg lebih ngebela seller yg salah mending beli di shopee aja kapok beli di tokopedia
5,bagus bgt
5,untuk fitur gopay pinjamnya mohon ditambhan  tenor tambahan yg melebihi tenor tertinggi sekarang  bulan agar bisa membuat lebih nyaman
1,kemaren belum di gabungin tiktok gak serumit ini tokopediasekarang malah di gabungin tiktok tambah rumit makin gak jelas
1,makin kesini makin ga jelas apalagi sejak collab sama tiktok balikin sistemnya kaya dulu aja
4,sejauh ini cukup puas dengan tokopedia baik jual barang atau beli barang terimakasih
1,beli barang dari tgl  mei sudah dibayar pake gopay barang sudah dikirim sama penjual tgl  mei tapi sampai sekarang  mei barangnya masih dikirim sama pihak kurir pelacakan barang stuck di tgl  mei pihak tokopedia dikomplain jawabannya sama aja daridulu kami masih berusaha berkoordinasi dengan pihak kurir pas ditanya sampai kapan harus nunggu pihak tokopedianya ga bisa ngasih jawaban pasti gataulah itu barang hilang atau gimana yg pasti kecewa tokopedia ga ngasih kemajuan apapun
5,permisi untuk developer saya sarankan mohon di adakan rating untuk pengirimkurir karna sekarang lebih banyak kendala di pengirimankurirnya banyak customer yang mengeluh dan pada akhirnya customer melampiaskannya ke seller terima kasih
5,mantap
5,goodlah
1,kecewa
5,mantab
4,brang yg dbtuhkan dcri kdang gk ada
1,uda mulai pelit ni tokpedbiasanya selalu dpt voucher free dan ngatasi masalah paket gua yang gak sampai gara kurir ninja express marelanmedan itu saja gak bisa cupu ni olshop ijomulai sekarang uda gak pakai ni olshop lagilama bgt ngatasi masalah sepele
1,nyesel belanja di toko pedia pantesan jualan di toko pedia sepi shopee lazada sudah update jauh toko pedia ketinggalan jauh
1,makin jelek
5,mudah untuk pengembalian barang ngak berbelit dan produk banyak diskon dan gratis ongkir serta produk berkuwalitas dan murah
5,baik
5,kren sekali
4,lanjut
1,hilangkan jne dari opsi pengiriman utama sebab menyebabkan customer males chekout di tokopedia karena performa jne nya banyak mengecewakan
5,sangat bagus dan puas memakai tokopedia
1,maaf ya tokped sy kasih bintang  utk aplikasi yg merge dengan tiktok jd semakin kacau toko saya banyak chat di tokped yg tidak sinkron dengan yang di seller center tokpedtiktok shop fitur cod gabisa di nonaktifkan harus manual di iklannya banyak sekali ribetnya
2,menurut saya sih aplikasi ini kurang bagus terutama dimasalah pengiriman barang
5,belanja lebih mudah
5,mantap
5,banyak banget promosi nya
2,buka metode pembayaran susah sih aneh banget padahal versi yang kmaren biasa aj
1,bytedance ruined this
5,dana saya mengendap di mitra tokopedia  juta tidak bisa saya pakai jualan pulsa juga belum bisa saya refund bagaimana cara agar bisa dipakai
5,mantul banget
1,gopaylater tidak bisa di pakai padahal sudah lunas bayar aman tidak bisa di pakai  tokped gak jelas bintang  terima kasih
1,dasar penipu mau nipu biaya administrasi topup gopay rp modusnya  bekerja sama dengan gopay dengan menjanjikan voucher diskon  untuk pembelian barang setelah topup gopay langsung hilang voucher diskon nyawkwkwkmakanlah uang haram itubelum lagi rugi ongkir belanja di sini barang retur karena seller nakal sengaja mengirimkan barang pesanan yang tidak sesuai dengan foto judul dan deskripsi produk pun setelah di komplain refundnya tidak termasuk ongkirmending di orange aja
1,aplikasi gjelas asem makin kesini makin kesini menyusahkan seller
5,belanja online yang murah dan berkualitas
5,baik
3,tingkatkkan lagi kak
5,keren
5,good
5,mantabn
3,sering minta d abdet
5,ok
4,baik
5,mantap
2,iklan sangat menggaggu
3,dulu karena baru mencoba semoga lancar biar aku tambah bintangnya
2,gj sering kali masalahnya produk tidak tersedia di android
3,sudah pakai tokped dari lama semakin kesini malah pelit sekali bahkan tidak pernah dapat vocher potongan harga
1,sytemnya jadul cara pengembalian barang amatlah sulit kapok
1,kembalikan tokopedia seller jangan mau merger sama app kandang monyet
1,rip tokped
5,dengan tokopedia  belannja jaxi lebih mudah
1,gunakan aplikasi ini pengembalian dana lama banyak fake penjualnya
1,aplikasi sampah bikin pusing mulai dari dinload sampai mau finis tiba disuruh donload ulang begitu kedonload registrasinya bikin puyeng mutar disitu terus tolong jgn d dinload aplikasi g jelas ini
5,mantap
1,muter aja trus
1,pembelian saya sulit sekali untuk di return
1,baru pertama belanja disini pesanan dibatalkan seller voucer sama diskon langsung lenyap  kecewa pasti
5,mantabbs
1,toko di sidoarjo kirim paket ke sidoarjo tiga hari nyampek
2,bkin ssh seller upload foto qrain msh ada foto dan bs di edit trnyta fiktif klo sdh dihapus sistem sekalian sm sistem di etalase toko seller biar ga keliru krn produk msh ada stock biar bs tempel foto lg
5,boleh juga tpi ada yg kurang diskon
1,alhmdulillah makasihh tokped
1,app busuk kebanyakan update pelit voucher potongan harga ga ngotak tokopaedi bobrok
5,perbanyak vochernya ya
3,update pengiriman lama
1,sorry b karna privasi nomor jadi tersebar akibat paylater pdhal paylater menguntungkan kalian dan juga kami
5,tolong kak untuk vt di tiktok apa salah nya sih kak pakai gambar saya tidak punya sampel dan sy juga tidak merugikan seller mintaminta sampel saya di tiktok bikin vt bergambar akhirakhir ini di kasih poin  pdhal sebelumx nya cuman di sanksi tolong kebijakan nya dirubah kak ini kok jadi takut mau berkreasi lewat vt saya cuman affiliate kecil
4,lumayan lah
5,mantul brop
2,makin kesini tokopedia makin pelit gratis ongkir seharusnya bersaing dgn aplikasi lain yg bny gratis ongkirnya  banyak bonusnya pilihan tokonya juga lebih banyak
1,sistem nya gak jelas masa gw beli barang udah nunggu seminggu malah di batalkan sistem kan kocak
5,proses cpt belanja dsini kami puas trmksh tokped
1,aplikasi sampah uang saya raib di hub email ga dibalas di telfon cs ga aktif uaang saya hilang k
1,mw jual aja susah gak kek dulu tinggal posting selesai ini hrs sambungkan akun kesana kesinigak di dunia asli atau dunia maya birokrasinya ampun dah bikin ribetbye tokped
1,aplikasi toko terjelek
2,dalam pelayanan jual beli saya puascuma dalam penanganan komplain saya agak kecewaterkesan lambat dan memihak sipenjualsaya pembeli merasa dirugikanjelas penjual mengganti pesanan saya sesuai harga yang di sepakatitapi di ganti dengan barang lebih murahkenapa penjual ini tidak di beri sanksimalah dibelajustru saya terasa ditekan akhirnya dianggap salahjadi saya tetapkan saya nggak mau berbelanja di toko pediatidak aman selama penjual curang masih dibiarkan ditoko pedia
1,sulit mau mengganti alamat pengiriman padahal barang belum terkirim l
1,lebih enak belanja di shopeepenjualnya real gak silumanbanyak diskongratis ongkir dan komplain gak ribet
5,ok
5,mantap
5,harganya hitam background nya hitam ga keliatan dong hehe
1,jangan beli dari tokopedia pengiriman lama sekali sudah lewat tanggal estimasi gak sampai² ga jalan tunggu estimasi sesuai baru pengiriman saya kapok beli tokopedia tak di hapus saja aplikasi tokopedia kirim tidak jelas kurir jne pecat saja tidak niat kerja ganti saja kurir ganti yang lain masih ada kurir jne  kurir regular sudah males dengan tokopedia
1,kenapa uang refund sy blm masuk juga di rekening bca sy bolakbalik sy cek ya saldonya ttp azsedangkan keterangan di aplikasi tokped nya sudah dinyatakan berhasil trus bgmn inigk banyak sich tp cukuplah hah ternyata tidak ada responnya lo mkn tuch duit w dunia akhirat w kgk ikhlas djiantjuk
5,sangat baik
5,semoga lebih sukses
5,ok
5,bagus aja kok
5,sangat puas
3,yang  tidak bisa pencarian beberapa barang dalam  toko fitur  di pencarian gak ada entut lah
5,mantap
1,pelayanan disini buruk bgt lelet dan berteletele paket hilang ditempat lain kurang dari x kelar disini butuh bermingguminggu kasus beda oiya ada yg pernah ngalamin tiba saldo goapay berkurang blm padahal tidak belanja apapun
5,good app
5,bagus and baik
1,keseringan update males download lagi setaip bulan update app coba niru app shopee tuh gak harus update tiap hari kan enak
1,sangat sangat kecewa sama tokoped sekarang bedah waktu tahun  tokped lebih enak dibanding yang sekarang  sangatt mengecewakan
1,promo pengguna baru belum juga dipakai udah ilang aja
1,potongan nya makin gila
5,biasa bagus
5,suka tokopedia
5,cepat mudah solusi dari tokopedia membantu pelangganmantab
5,mantab
5,layanannya mantap
5,tingkatkan lagi kemudahan dan keamanannya
